SYEAR,AREA,RNAME,DNAME,VCODE,STYPE,SID,S001,S002,S003,S004,S004t,S004g,S004b,S004V,S004H,S004P,S004I,S004BHV,S004MUL,S004FR,S004FT,S004FHO,S004FO,S006,S006a,S007E,S007P,S008TA,S008TP,S009a,S009b,S009c,S009d,S009e,S009f,S009z,S010a,S010b,S010c,S010d,S010e,S010z,S010T0,S010T15,S010T30,S010T31,S011a,S011b,S011c,S011d,S011e,S011e1,S011f,S011g,S011k,S011m,S011n,S011q,S011n,S011p,S012a,S012b,S012c,S012d,S012e,S012f,S012g,S012h,S012j,S012k,S012L,S012m,SF0,S014,S015,S016,S017,S0181,S0181a,S0182,S0182a,S018PVT1,S018PVT2,S018PVT3,S018PVT4,S018PVT5,S018PVT6,S019a1,S019b1,S019c1,S019d1,S019e1,S019f1,S019g1,S019h1,S019i1,S019j1,S019k1,S019m1,S019n1,S019p1,S019q1,S019r1,S019s1,S019t1,S019a2,S019b2,S019c2,S019d2,S019e2,S019f2,S019g2,S019h2,S019i2,S019j2,S019k2,S019m2,S019n2,S019p2,S019q2,S019r2,S019s2,S019t2
2019,1,BALOCHISTAN,KHUZDAR,,1,1,1,2,2,1,1,0,1,0,0,0,0,0,1,0,0,0,1,,,162,145,9,9,,,,3,3,3,,,,3,3,3,,,,,,7,7,0,1,0,0,0,0,0,0,1,0,0,0,0,,,,1,,1,,0,,1,,1,0,,,,0,,1,8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,BALOCHISTAN,KHUZDAR,,1,2,1,2,2,1,1,0,1,0,0,0,0,0,1,0,0,0,1,,,84,76,5,5,,,,,5,,,4,,1,,,,,,,,2,2,0,1,0,0,0,1,0,0,0,0,0,0,1,"3,4",,,1,,1,,0,,1,,1,0,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,BALOCHISTAN,KHUZDAR,,1,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,126,117,2,2,,,,,2,,,2,,,,,,,,,,25,21,0,1,0,0,0,0,0,0,1,0,0,0,1,"3,4",,,1,,1,,0,,1,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,BALOCHISTAN,KHUZDAR,,1,4,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,84,76,4,4,,,,3,1,,,,,3,1,,,,,,,3,3,0,1,0,0,0,0,0,0,1,,0,0,1,"3,4",,,1,,1,,0,,1,,1,0,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,BALOCHISTAN,KHUZDAR,,1,5,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,48,42,1,1,,,,,1,,,,,,1,,,,,,,1,1,0,1,0,0,0,0,0,0,0,,0,0,1,"3,4",,,2,,0,,0,,0,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,BALOCHISTAN,KHUZDAR,,1,6,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,144,127,2,2,,,,,2,,,,,2,,,,,,,,2,2,0,1,0,0,0,0,0,0,1,0,0,0,1,"3,4",,,1,,1,,0,,1,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,BALOCHISTAN,KHUZDAR,,1,7,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,71,56,5,5,,,,1,3,,,,,,,,,,,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,"3,4",,,0,0,0,,0,,0,,1,0,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,BALOCHISTAN,KHUZDAR,,1,8,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,40,34,1,1,,,,1,,,,,,1,,,,,,,,5,5,1,1,0,0,0,0,0,0,1,0,0,0,1,"KACHI, PAKI",,,2,,0,,0,,0,,1,0,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,BALOCHISTAN,KHUZDAR,,1,9,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,111,99,1,1,,,,,1,,,,,1,,,,,,,,2,2,1,0,0,0,0,0,0,0,1,0,0,0,1,"3,4",,,1,0,1,,1,,1,,1,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,BALOCHISTAN,KHUZDAR,,1,10,3,3,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,,,92,82,6,6,,,,1,3,2,,,,1,3,2,,,,,,5,5,0,1,0,0,0,1,0,0,0,0,0,0,0,,,,1,0,1,,0,,1,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
